id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,winner_index
74,725572,688433,0,263978,52393,372062,52280,263178,7850,307608,0,0,56279,1684,16833,17913,151742,38484,1918,911,2026,5362,666,1561,3811,8418,0.1784,0.0053,0.0534,0.0568,0.481,0.122,0.0061,0.0029,0.0064,0.017,0.0021,0.0049,0.0121,0.0267,17
75,613225,575290,0,286111,67148,222031,67147,285761,6045,346863,0,0,64332,3434,26543,22600,174429,26665,2374,965,2454,5134,463,2233,2664,12573,0.1823,0.0097,0.0752,0.064,0.4943,0.0756,0.0067,0.0027,0.007,0.0145,0.0013,0.0063,0.0075,0.0356,17
76,613073,579253,0,286261,84907,208085,84907,286205,5487,365625,0,0,70836,2241,25831,17320,199536,23116,1615,833,2200,5728,454,1674,2364,11877,0.1909,0.006,0.0696,0.0467,0.5377,0.0623,0.0044,0.0022,0.0059,0.0154,0.0012,0.0045,0.0064,0.032,17
77,484828,446761,0,270323,63657,112781,63652,269853,5170,328335,0,0,47120,1181,25755,9693,216247,13905,1221,966,1421,2706,724,993,1696,4707,0.1413,0.0035,0.0772,0.0291,0.6484,0.0417,0.0037,0.0029,0.0043,0.0081,0.0022,0.003,0.0051,0.0141,17
78,479289,429840,0,263171,64669,102000,64664,263144,3968,323840,0,0,43463,1064,31146,5688,209086,18937,1392,826,1195,1896,521,820,4124,3682,0.1326,0.0032,0.095,0.0174,0.6378,0.0578,0.0042,0.0025,0.0036,0.0058,0.0016,0.0025,0.0126,0.0112,17
79,553293,489187,248,189534,29085,270320,29331,189370,5120,213581,0,0,54111,1850,21220,15264,86831,16748,2054,911,2753,2236,217,1219,1748,6419,0.2474,0.0085,0.097,0.0698,0.397,0.0766,0.0094,0.0042,0.0126,0.0102,0.001,0.0056,0.008,0.0294,17
80,550162,496280,0,179268,20001,297011,20001,179086,4937,194150,0,0,54286,1889,18135,15285,70414,15736,2337,928,2986,2407,202,1248,1802,6495,0.2727,0.0095,0.0911,0.0768,0.3537,0.079,0.0117,0.0047,0.015,0.0121,0.001,0.0063,0.0091,0.0326,17
81,431539,406063,0,204231,84164,117667,84145,203800,3243,284702,1,0,39788,1269,31824,8356,170623,18232,1389,1035,1309,2202,309,935,2044,5387,0.1382,0.0044,0.1105,0.029,0.5926,0.0633,0.0048,0.0036,0.0045,0.0076,0.0011,0.0032,0.0071,0.0187,17
82,465365,438938,0,239489,71137,128306,71136,239479,4006,306609,7,1,45136,1326,37199,8731,178124,19650,1335,813,1210,1691,249,946,2604,7595,0.1453,0.0043,0.1198,0.0281,0.5735,0.0633,0.0043,0.0026,0.0039,0.0054,0.0008,0.003,0.0084,0.0245,17
83,452264,426001,0,237010,72990,115999,72990,236816,3047,306759,2,0,44552,1221,32181,8285,191512,14042,1562,1011,1356,2452,368,1002,1595,5620,0.1438,0.0039,0.1039,0.0267,0.6182,0.0453,0.005,0.0033,0.0044,0.0079,0.0012,0.0032,0.0051,0.0181,17
84,458238,434237,0,208580,56756,168902,56753,208444,3773,261424,1,2,43832,1095,29281,9916,145446,15777,1689,973,1174,2318,263,989,2567,6104,0.1653,0.0041,0.1104,0.0374,0.5484,0.0595,0.0064,0.0037,0.0044,0.0087,0.001,0.0037,0.0097,0.023,17
85,493744,454845,0,199461,26911,228473,26885,199299,4854,221330,0,0,45484,2209,31387,17607,75127,24052,3615,858,1511,4719,232,1611,1405,11513,0.2011,0.0098,0.1388,0.0778,0.3321,0.1063,0.016,0.0038,0.0067,0.0209,0.001,0.0071,0.0062,0.0509,17
86,432178,381591,225,178280,16698,186388,16921,178065,3895,191091,0,0,45873,1727,21084,14195,69375,19484,1956,620,1163,3718,229,1685,1350,8632,0.2353,0.0089,0.1081,0.0728,0.3558,0.0999,0.01,0.0032,0.006,0.0191,0.0012,0.0086,0.0069,0.0443,17
87,517354,469838,0,204058,46896,218884,46891,203915,3540,247266,0,0,52740,2002,16523,15310,128706,13298,2161,594,1509,2366,228,1401,6299,4129,0.2103,0.008,0.0659,0.061,0.5132,0.053,0.0086,0.0024,0.006,0.0094,0.0009,0.0056,0.0251,0.0165,17
88,440519,422788,0,170819,42535,209434,42532,170768,2945,210355,0,0,44957,1550,12595,11278,113784,12191,1845,469,1328,1994,173,1112,3164,3915,0.2108,0.0073,0.059,0.0529,0.5334,0.0572,0.0086,0.0022,0.0062,0.0093,0.0008,0.0052,0.0148,0.0184,17
89,470134,419253,0,161072,69142,189039,69111,160910,4718,225303,0,0,48295,1349,14471,14344,116364,14744,1528,526,1271,2630,224,1063,4375,4119,0.2099,0.0059,0.0629,0.0624,0.5059,0.0641,0.0066,0.0023,0.0055,0.0114,0.001,0.0046,0.019,0.0179,17
90,421160,438069,560,198017,102868,136624,103427,197999,3642,297784,0,0,48254,1250,16687,9551,197588,11658,840,449,1197,2982,225,694,2218,4191,0.1601,0.0041,0.0554,0.0317,0.6555,0.0387,0.0028,0.0015,0.004,0.0099,0.0007,0.0023,0.0074,0.0139,17
